Date,USPHCI,Boston,New York,Philadelphia,Cleveland,Richmond,Atlanta,Chicago,St. Louis,Minneapolis,Kansas City,Dallas,San Francisco,USPHCI_change
1979-05-01,46.29,0.1056702702702702,0.1476709677419354,0.1377261904761904,-0.0153062499999999,0.1699645161290323,-0.0780729166666666,0.0361875,0.1565484848484848,-0.0874685714285714,0.1817675675675675,0.0746288888888889,0.2094906249999999,0
1979-06-01,46.42,-0.0032520833333333,0.0646631578947368,-0.1523457627118644,-0.0388770833333333,-0.0048222222222222,-0.0022772727272727,0.0150212121212121,0.1380486486486486,0.0538911111111111,0.1485925,0.1064,0.0301243243243243,0
1979-07-01,46.54,-0.0310113636363636,-0.0305885714285714,0.0114090909090909,0.0329229166666666,0.117865909090909,0.0960297297297297,0.1200921568627451,0.0939422222222222,-0.1272842105263158,0.2157,0.2250125,0.0168866666666666,0
1979-09-01,46.68,-0.0244090909090909,0.1319358974358974,0.0722322580645161,0.0298136363636363,0.1366068181818182,0.0657104166666666,-0.0127454545454545,0.150028947368421,-0.0774206896551724,0.0476704545454545,0.1394704545454545,0.1164566666666666,0
1979-10-01,46.77,0.1066489361702127,0.051865625,0.036738775510204,0.1260341463414634,0.0136729729729729,-0.0814604166666666,-0.0140333333333333,0.1738849999999999,0.086969696969697,0.1512386363636363,0.1831642857142857,-0.0096473684210526,0
1979-12-01,46.94,0.0340047619047619,0.1411552631578947,0.0120264705882352,0.0915066666666666,0.1185785714285714,0.107284,-0.0501999999999999,0.1775333333333333,0.1738368421052631,0.1297619047619048,0.0862378378378378,0.0952199999999999,0
1980-01-01,46.98,0.1757166666666667,0.0827282051282051,0.079265625,0.1533133333333333,0.0055,-0.0192680851063829,0.0779018181818181,0.0487914285714285,0.0362451612903226,0.147760465116279,-0.0444317073170731,-0.0713744186046511,0
1980-03-01,47.15,0.0714612244897959,-0.0914860465116279,0.0564968749999999,-0.0062936170212765,0.1085714285714285,-0.006266,-0.03112,0.1024486486486486,0.049275,0.0136431818181818,0.1271925,0.125411111111111,0
1980-05-01,46.88,0.0607794871794871,0.0787765957446808,0.0374846153846153,-0.0312543478260869,0.04696,0.03486,-0.1361280701754386,-0.0046297297297297,0.0381366666666666,0.0249044444444444,0.0493808510638298,-0.1037861111111111,1
1980-06-01,46.79,0.0166948717948718,0.1042731707317073,0.1064272727272727,-0.0413372093023255,0.14455,-0.0675541666666666,0.0286722222222222,0.0728731707317073,0.0083909090909091,0.1095813953488372,0.205747619047619,-0.0498657894736841,1
1980-07-01,46.7,0.0641341463414634,0.0543719298245614,0.1741054054054054,0.09325,0.0632142857142857,0.1218,0.0843745762711864,0.2259575757575757,0.1203645161290322,0.052501923076923,0.1564489795918367,-0.0265816326530612,1
1980-09-01,46.94,-0.0084794871794871,0.1286964912280701,0.1919738095238095,0.0855224489795918,0.0785136363636363,0.0584487804878049,0.0191590909090909,0.1027564102564102,0.1309499999999999,0.14335,0.160082,0.0505775510204081,0
1980-10-01,47.07,0.1014744186046511,0.178774,0.1103243902439024,0.0343270833333333,0.0967216216216216,0.1392239130434782,0.0341777777777777,0.0563162162162162,0.1079666666666666,0.1473214285714285,0.1597311111111111,0.1298787234042553,0
1980-12-01,47.42,0.0088285714285714,0.0858087719298245,0.1449499999999999,0.0579812499999999,0.1282124999999999,0.1641204545454545,-0.0238327272727272,0.0770307692307692,0.0751586206896551,0.1378268292682926,0.1202068181818181,0.0719152173913043,0
1981-01-01,47.47,0.1464159090909091,0.2148108695652174,0.1813177777777778,0.2525642857142858,0.1087416666666666,0.0954846153846153,0.0164537313432835,0.1448111111111111,-0.0342548387096774,0.0825760869565217,0.1391048780487805,0.0555761904761904,0
1981-06-01,47.96,0.1789978260869565,0.1447481481481481,0.1824265306122449,0.0760425531914893,0.047685,0.1848529411764705,0.0058169491525423,-0.0107459459459459,0.0992515151515151,-0.0051068181818181,0.1216381818181818,0.0659901960784313,0
1981-07-01,48.1,0.0124380952380952,0.0831249999999999,0.1697857142857143,0.0814409090909091,0.1274333333333333,0.0631244897959183,0.0359544117647058,0.1465121951219512,-0.0792390243902439,0.1449266666666667,0.0377744680851064,-0.0560186046511627,0
1981-09-01,48.11,0.0097596153846153,0.0251631578947368,0.1068551020408163,0.1271877551020407,-0.0097846153846153,0.148722,0.0565459016393442,0.0246466666666666,-0.0478655172413793,0.0926777777777777,0.084595744680851,0.065327027027027,0
1981-10-01,48.07,0.0192039215686274,-0.0070782608695652,0.0316075471698113,-0.0088244897959183,0.0281849999999999,0.0435433333333333,-0.0775775862068965,0.0725891891891891,-0.1339125,0.1715599999999999,0.0432209302325581,-0.0624340909090909,1
1981-12-01,47.93,0.0141875,0.0841654545454545,0.0844510204081632,-0.0804979166666666,0.0310636363636363,0.0175692307692307,-0.1080616666666667,0.0312973684210526,-0.0968499999999999,0.1384348837209302,0.1731860465116279,-0.1115477272727272,1
1982-01-01,47.85,0.0656531249999999,0.0171351851851851,0.0858260869565217,-0.1461166666666666,0.1591324324324324,-0.1211436363636363,0.027225,-0.020654054054054,-0.1247487179487179,0.2068674418604651,0.061995652173913,-0.0061124999999999,1
1982-03-01,47.81,-0.0145229508196721,-0.0929934782608695,0.1578938775510204,-0.0417864406779661,0.0153135135135135,-0.0531864406779661,-0.0544771428571428,-0.0051371428571428,-0.0533148936170212,0.0589179487179487,0.0507764705882352,-0.060591304347826,1
