,file_names,vader_sentiment
668,2008_mn (5)_chunk_5.txt,positive
680,2009_ch (8)_chunk_5.txt,negative
774,2013_ri (8)_chunk_6.txt,positive
270,1985_ns (1)_chunk_1.txt,positive
874,2018_ns (6)_chunk_3.txt,positive
924,2021_cl (1)_chunk_3.txt,positive
20,1971_kc (12)_chunk_2.txt,positive
2,1970_ch (1)_chunk_4.txt,negative
572,2004_kc (4)_chunk_2.txt,positive
622,2006_ri (1)_chunk_3.txt,mixed
192,1980_at (6)_chunk_4.txt,mixed
140,1977_cl (6)_chunk_1.txt,positive
41,1972_ny (10)_chunk_2.txt,positive
685,2009_mn (6)_chunk_3.txt,positive
664,2008_da (4)_chunk_6.txt,positive
636,2007_da (6)_chunk_3.txt,positive
837,2016_ns (6)_chunk_3.txt,positive
859,2017_sl (1)_chunk_1.txt,positive
554,2003_ns (1)_chunk_9.txt,mixed
712,2011_kc (3)_chunk_5.txt,positive
349,1991_ns (6)_chunk_1.txt,positive
573,2004_kc (6)_chunk_2.txt,positive
814,2015_ns (6)_chunk_4.txt,positive
901,2019_ri (8)_chunk_4.txt,positive
977,2023_ns (8)_chunk_6.txt,negative
980,2023_ph (1)_chunk_6.txt,mixed
525,2001_ri (5)_chunk_4.txt,positive
287,1987_bo (5)_chunk_2.txt,positive
577,2004_mn (8)_chunk_1.txt,positive
943,2022_mn (5)_chunk_5.txt,positive
985,2024_at (6)_chunk_3.txt,positive
377,1993_ch (4)_chunk_3.txt,positive
961,2023_at (8)_chunk_4.txt,positive
63,1973_sl (5)_chunk_4.txt,mixed
395,1994_bo (5)_chunk_4.txt,positive
317,1989_kc (4)_chunk_3.txt,positive
320,1989_mn (7)_chunk_2.txt,positive
478,1999_ch (5)_chunk_2.txt,positive
546,2003_cl (3)_chunk_2.txt,positive
732,2012_bo (1)_chunk_3.txt,negative
389,1993_sl (5)_chunk_3.txt,mixed
951,2022_ph (8)_chunk_4.txt,positive
564,2003_ri (7)_chunk_1.txt,negative
339,1990_sf (1)_chunk_1.txt,positive
836,2016_ns (4)_chunk_1.txt,positive
50,1973_cl (10)_chunk_2.txt,positive
644,2007_ns (6)_chunk_7.txt,positive
64,1974_at (1)_chunk_5.txt,negative
823,2016_bo (6)_chunk_3.txt,negative
365,1992_mn (8)_chunk_3.txt,positive
864,2018_at (7)_chunk_4.txt,positive
351,1991_ri (8)_chunk_2.txt,positive
740,2012_kc (1)_chunk_1.txt,positive
947,2022_ny (2)_chunk_6.txt,negative
135,1977_ch (12)_chunk_3.txt,positive
571,2004_kc (3)_chunk_1.txt,positive
672,2008_ph (3)_chunk_4.txt,mixed
340,1990_sf (1)_chunk_2.txt,positive
244,1983_ph (3)_chunk_4.txt,positive
471,1998_ph (8)_chunk_4.txt,positive
550,2003_da (7)_chunk_4.txt,positive
