District,compound_score,mean_sentiment,median_sentiment,IQR_sentiment,sentiment_trigram,variance_sentiment,econ_index_change_dummy
8,0.9845,0.1166934782608695,0.0,0.37995,0.1191666666666666,0.1051901327835538,1
7,0.994,0.1023418181818181,0.0,0.4843999999999999,0.1542555555555555,0.123891912614876,1
4,0.993,0.1115533333333333,0.0,0.3182,0.0,0.0884406864888888,1
1,0.9943,0.1262225,0.0,0.3818,0.3523533333333333,0.10639973374375,1
3,0.9983,0.1595966101694915,0.0,0.3609,0.2292233333333333,0.0501761942257971,1
7,0.9966,0.2062942307692307,0.2023,0.5106,0.4334666666666666,0.1177175593897928,1
7,0.9969,0.1407109090909091,0.0,0.4368499999999999,0.0,0.1214878700628099,1
12,0.9847,0.0225567164179104,0.0,0.4931,0.125,0.117361863947427,1
10,0.983,0.0825760869565217,0.0,0.3969,0.0742,0.1536072344281663,1
12,0.9981,0.1777576923076923,0.2023,0.46665,0.1132,0.1373673743639053,1
4,0.9224,0.0639355555555555,0.0,0.3182,-0.0071666666666666,0.095686126291358,1
12,-0.9892,-0.0828044444444444,-0.0644,0.5348999999999999,-0.0566888888888888,0.1303147964246913,0
9,0.9973,0.0963125,0.0,0.4068,0.23425,0.13464390421875,1
2,-0.9648,-0.0430744186046511,0.0,0.2006,-0.1198555555555555,0.0813119735316387,1
3,0.9975,0.3344371428571429,0.3818,0.5187,0.0,0.0887172697632653,1
11,0.9943,0.0952428571428571,0.0772,0.4892,0.4777,0.1370651718367347,1
2,0.9973,0.170591304347826,0.1154,0.4939,0.22,0.1248192242722117,1
3,0.9989,0.3018972972972973,0.3818,0.5423,0.0,0.0997723732359386,1
10,0.9931,0.128981081081081,0.1779,0.4779,0.1817999999999999,0.1274520696420745,0
3,0.9887,0.1831688888888888,0.128,0.4404,0.1503266666666666,0.1028117728098765,0
1,0.9971,0.1789978260869565,0.0516,0.4784,0.0,0.1772430976039697,1
11,0.9981,0.1088721518987341,0.0,0.39705,0.3585,0.1075505303637237,1
12,0.9969,0.1147708333333333,0.0258,0.52445,0.0229777777777777,0.1765847891493055,1
2,0.925,0.0229174603174603,0.0,0.4105,-0.11914,0.1136236862030738,0
2,0.9472,0.0398743589743589,0.0,0.45125,-0.2831,0.1370621224194609,1
4,-0.9981,-0.1512944444444444,-0.0772,0.4404,-0.0510333333333333,0.1173627875617284,0
9,-0.9818,-0.0478655172413793,0.0,0.4449,0.0,0.1813280829488704,0
1,0.9853,0.0660542857142857,0.0,0.3182,0.006637037037037,0.1073508941959183,1
8,0.9935,0.1308405405405405,0.0,0.3612,0.0,0.0627821483564645,1
11,-0.9733,-0.03715375,0.0,0.36705,0.0196388888888888,0.1079866062359375,1
12,0.9971,0.1389877551020408,0.0,0.6047,-0.1151666666666666,0.1479047814827155,1
12,-0.9937,-0.1115477272727272,0.0,0.4259,0.0,0.1271664652221074,0
9,0.9989,0.2006065573770492,0.2263,0.4588,0.0542666666666666,0.0923435789733942,1
1,0.9987,0.125290410958904,0.0516,0.5684,-0.07569,0.1430596019628448,1
1,0.9945,0.1136411764705882,0.0,0.4529999999999999,0.33292,0.1188110369319492,1
6,0.9947,0.1402295774647887,0.0,0.3715,0.1441571428571428,0.1185407130688355,1
5,0.9967,0.2208861111111111,0.296,0.481,0.0,0.1270491095293209,1
4,-0.9871,-0.0804979166666666,0.0,0.3805499999999999,0.0,0.119697916453993,0
3,0.9989,0.2392083333333333,0.3291,0.5246000000000001,0.3801333333333334,0.1338540778472222,1
12,0.9969,0.1383555555555555,0.0,0.5367999999999999,0.1369944444444444,0.1081480024691357,1
5,0.9881,0.0525260869565217,0.0,0.4995,0.2376555555555556,0.0928177477252678,1
9,0.994,0.1167276595744681,0.0,0.3392,0.0,0.0750870581711181,1
1,0.9952,0.1464159090909091,0.2023,0.574,0.1858,0.1749992045196281,1
6,0.9611,0.0176304347826086,0.0,0.47005,-0.0206666666666666,0.1275936729867675,1
2,-0.3989,0.0177619047619047,0.0,0.267325,-0.0695777777777778,0.1501385728344671,0
12,-0.9886,-0.060591304347826,0.0,0.5507,-0.1007333333333333,0.1589845681852552,0
3,0.9994,0.2134035714285714,0.2023,0.4767,0.1135416666666666,0.1392591828443877,1
6,0.9987,0.1497225352112676,0.0772,0.4019,0.3387333333333333,0.1147424175203332,1
1,0.9995,0.189616883116883,0.0258,0.4215,0.3985,0.113227487377298,1
6,0.9981,0.1141576923076922,0.0,0.2952,0.1665,0.0926927944921104,1
3,0.999,0.2311980000000001,0.25,0.49765,0.0,0.144643688196,1
7,-0.9769,-0.0775775862068965,0.0,0.4539,0.0,0.1313278276010701,0
1,0.9964,0.1389,0.0,0.45305,0.0,0.1012031523076923,0
2,0.9832,0.068886,0.0,0.5362,0.0471833333333333,0.1478932080039999,1
7,0.9977,0.2330079365079364,0.2732,0.4767,0.2727571428571428,0.1014088296195515,1
10,0.9977,0.1292149253731343,0.0,0.45875,0.1994133333333333,0.1103532636578302,1
1,0.9978,0.1983538461538462,0.1531,0.463275,0.4203,0.1220098886390532,1
8,0.9938,0.1280132075471698,0.0,0.3182,0.2714848484848485,0.0944477090708437,0
5,0.9829,0.0632142857142857,0.0,0.389375,0.5509000000000001,0.1274184350340136,0
